kma_jid,t_max,t_diff,t_avg,hu,pd_in,HW
20160114_US,5.7,7.5,1.1,53.1,14,0
20160115_BS,10.6,11.1,4.2,45.6,77,0
20160115_CB,4.7,10.446666667,-1.213333333,68.32,31,0
20160115_CN,5.83125,10.26875,0.26875,78.2875,40,0
20160115_DG,6.8,12.8,-0.3,66.3,53,0
20160115_DJ,6.4,10.1,0.5,70.5,37,0
20160115_GB,5.9291666667,12.4625,-0.95,62.445833333,76,0
20160115_GG,4.7452380951999995,9.719047619,-0.8785714290000001,65.266666667,181,0
20160115_GJ,8.4,10.6,2.6,63.5,29,0
20160115_GN,7.8227272727,12.559090909000002,0.8181818181999999,58.822727273000005,63,0
20160115_GW,3.1833333333,9.3722222222,-2.288888889,66.883333333,36,0
20160115_IC,5.13,7.82,0.6,61.23,51,0
20160115_JB,6.2866666666999995,10.44,0.31333333329999996,76.413333333,80,0
20160115_JJ,11.0,6.75,6.85,54.5,23,0
20160115_JN,8.5,11.690909090999998,2.05,66.795454545,46,0
20160115_SU,5.3,9.6,-0.4,52.3,174,0
20160115_US,8.8,13.3,1.5,58.3,13,0
20160116_BS,10.4,8.1,5.7,50.9,11,0
20160116_CB,6.2333333333,12.32,-0.793333333,67.473333333,13,0
20160116_CN,7.275,10.7875,1.21875,78.3125,11,0
20160116_DG,8.3,13.1,0.6,68.9,21,0
20160116_DJ,8.2,12.6,0.9,73.8,6,0
20160116_GB,7.7625,13.4625,0.0166666667,63.616666667,20,0
20160116_GG,3.9761904762,7.4547619048,0.045238095199999995,71.511904762,54,0
20160116_GJ,10.0,9.4,4.6,59.5,10,0
20160116_GN,8.2909090909,10.527272727,2.0409090909,62.172727273,25,0
20160116_GW,3.7833333333,11.366666667,-2.166666667,72.355555556,9,0
20160116_IC,5.24,5.68,1.83,76.19,14,0
20160116_JB,8.766666666699999,11.706666667,1.8066666667,70.06666666699999,28,0
20160116_JJ,11.55,7.85,7.6,61.45,2,0
20160116_JN,9.786363636399999,10.004545455,3.9863636363999997,62.022727273,12,0
20160116_SU,2.8,4.9,-0.2,68.0,58,0
20160116_US,8.7,10.5,2.8,63.1,4,0
20160117_BS,10.3,5.2,6.6,77.4,0,0
20160117_CB,5.533333333300001,8.16,1.3666666666999998,75.34,0,0
20160117_CN,6.5625,8.14375,2.34375,79.99375,0,0
20160117_DG,4.5,6.3,1.4,81.5,0,0
20160117_DJ,5.3,6.3,1.7,84.0,0,0
20160117_GB,4.8,7.175,1.5583333333000002,82.579166667,2,0
20160117_GG,5.690476190499999,7.5476190476,1.5738095238,69.74047619,8,0
20160117_GJ,6.6,4.2,3.7,76.5,0,0
20160117_GN,7.031818181799999,6.9272727273,3.2590909091,74.95,1,0
20160117_GW,4.7,8.3611111111,0.3944444444,82.033333333,2,0
20160117_IC,5.18,4.59,2.24,78.65,0,0
20160117_JB,4.8,5.4066666667,1.92,84.22,1,0
20160117_JJ,10.3,2.55,9.1,80.55,0,0
20160117_JN,6.9772727273,5.4454545455,4.0681818182,76.613636364,1,0
20160117_SU,5.4,6.1,1.7,64.0,7,0
20160117_US,8.6,8.1,4.5,80.0,0,0
20160118_BS,6.9,10.9,2.3,57.4,67,0
20160118_CB,1.5866666666999998,11.373333333,-4.053333333,71.07333333300001,37,0
20160118_CN,2.1375,9.7875,-3.2875,79.83125,59,0
20160118_DG,3.7,8.8,-0.2,62.1,68,0
20160118_DJ,1.6,10.1,-3.1,75.5,46,0
20160118_GB,3.6583333333,10.9,-1.125,60.595833333,81,0
20160118_GG,0.9,12.138095238,-5.507142857000001,61.188095238,209,0
20160118_GJ,3.2,7.6,-0.8,84.9,42,0
20160118_GN,5.1954545455000005,9.4136363636,0.9090909091,54.259090908999994,72,0
20160118_GW,1.9555555556,12.966666667,-3.5944444439999996,56.233333333000004,33,0
20160118_IC,1.74,12.5,-5.98,71.58,51,0
20160118_JB,2.4066666667,8.366666666699999,-2.2,80.24,87,0
20160118_JJ,8.6,9.5,3.7,65.1,18,0
20160118_JN,3.6318181818,7.5727272727,-0.23181818199999998,76.66818181800001,66,0
20160118_SU,0.4,12.7,-6.3,59.8,237,0
20160118_US,6.1,9.9,2.2,52.9,17,0
20160119_BS,0.7,6.1,-3.1,36.8,61,0
20160119_CB,-6.853333332999999,5.52,-9.913333332999999,57.453333333,35,0
20160119_CN,-5.49375,4.66875,-7.96875,71.7625,35,0
20160119_DG,-3.6,4.9,-6.3,46.8,53,0
20160119_DJ,-5.3,5.9,-8.3,66.0,37,0
20160119_GB,-4.579166667,5.0291666667,-7.470833333,40.7375,58,0
20160119_GG,-7.823809524,6.1571428571,-11.5952381,48.595238095,155,0
20160119_GJ,-2.0,3.8,-4.5,79.5,28,0
20160119_GN,-0.9363636359999999,5.1090909091,-3.895454545,35.531818181999995,47,0
20160119_GW,-7.088888889,6.5222222222,-10.76666667,35.694444444,45,0
20160119_IC,-8.43,4.94,-11.3,59.77,43,0
20160119_JB,-4.94,4.7666666667,-7.4066666670000005,78.826666667,50,0
20160119_JJ,2.95,4.05,0.85,64.1,11,0
20160119_JN,-1.645454545,3.8454545455,-3.868181818,71.781818182,35,0
20160119_SU,-8.9,6.2,-12.8,45.9,220,0
20160119_US,-0.3,5.6,-3.9,32.4,17,0
20160120_BS,2.0,8.6,-2.5,36.1,61,0
20160120_CB,-5.54,8.84,-10.04666667,59.246666667,29,0
20160120_CN,-4.33125,7.86875,-8.45625,76.24375,42,0
20160120_DG,-1.8,7.0,-5.4,49.5,64,0
20160120_DJ,-3.5,8.5,-8.1,67.9,28,0
20160120_GB,-1.9458333330000002,9.1625,-6.5875,46.558333333,60,0
20160120_GG,-5.2976190480000005,9.207142857100001,-10.23333333,51.092857143,182,0
20160120_GJ,-0.8,6.0,-4.5,64.1,35,0
20160120_GN,0.8181818181999999,8.65,-3.754545455,39.6,61,0
20160120_GW,-3.0944444439999996,11.516666667,-9.288888888999999,52.75,30,0
20160120_IC,-6.14,7.0,-9.56,59.15,43,0
20160120_JB,-3.44,9.1466666667,-7.793333333,74.32,65,0
20160120_JJ,5.05,3.95,3.0,64.0,11,0
20160120_JN,-0.086363636,5.6590909091,-3.395454545,63.227272727,45,0
20160120_SU,-5.2,9.3,-10.5,43.6,194,0
20160120_US,1.5,9.4,-3.7,42.4,8,0
20160121_BS,3.3,6.8,-0.9,29.9,53,0
20160121_CB,-1.993333333,9.4133333333,-7.126666667,58.18,45,0
20160121_CN,-1.3125,9.0625,-6.19375,72.85625,50,0
20160121_DG,0.4,8.2,-3.4,38.9,54,0
20160121_DJ,-0.5,8.3,-5.7,64.5,32,0
20160121_GB,0.6791666667,8.8458333333,-4.158333333,42.058333333,59,0
20160121_GG,-1.9476190480000002,8.8952380952,-6.921428571,52.538095238000004,181,0
20160121_GJ,0.8,6.1,-3.0,59.8,35,0
20160121_GN,2.1454545455000003,7.8909090909,-2.154545455,34.409090909,49,0
20160121_GW,-0.355555556,10.811111110999999,-6.494444444,49.977777778000004,33,0
20160121_IC,-3.33,6.02,-6.57,59.56,42,0
20160121_JB,-1.533333333,8.0133333333,-5.873333333,70.773333333,69,0
20160121_JJ,5.15,2.8,3.6,67.9,16,0
20160121_JN,0.8454545455,5.5181818182,-2.409090909,60.118181818000004,51,0
20160121_SU,-2.3,7.9,-7.1,44.3,199,0
20160121_US,3.1,8.7,-1.6,31.5,10,0
20160122_BS,6.7,9.4,0.8,23.9,49,0
20160122_CB,-1.333333333,11.186666667,-6.7,50.713333333,35,0
20160122_CN,-1.3875,11.06875,-6.13125,65.90625,48,0
20160122_DG,1.6,6.8,-2.1,32.0,64,0
20160122_DJ,-0.3,10.6,-5.7,59.1,34,0
20160122_GB,1.9208333333,10.754166667,-3.254166667,36.441666667,63,0
20160122_GG,-2.595238095,9.3047619048,-7.069047619,43.70952381,124,0
20160122_GJ,1.1,7.6,-2.8,44.6,33,0
20160122_GN,4.3954545455,10.390909091000001,-0.9272727270000001,25.65,65,0
20160122_GW,-0.672222222,11.277777777999999,-6.05,43.55,30,0
20160122_IC,-3.96,5.46,-6.56,48.46,40,0
20160122_JB,-0.96,11.313333333,-6.006666667,62.3,87,0
20160122_JJ,6.0,4.4,3.75,59.2,14,0
20160122_JN,1.9,7.2318181818,-1.990909091,46.190909091,54,0
20160122_SU,-3.8,7.3,-7.6,40.5,190,0
20160122_US,5.4,10.7,-0.2,24.3,8,0
20160123_BS,1.1,9.6,-2.9,32.0,18,0
20160123_CB,-5.42,7.42,-8.94,45.446666666999995,9,0
