,kma_jid,t_max,hu,lag1_t_max,lag1_hu,lag2_t_max,lag2_hu,lag3_t_max,lag3_hu,lag4_t_max,lag4_hu,lag5_t_max,lag5_hu,lag6_t_max,lag6_hu,lag7_t_max,lag7_hu,pd_in,date,place,month,day_of_week,day,weekdayname,holiday,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff,is_first,is_weekend
2492,20160604_SU,26.3,51.8,27.7,48.1,29.1,38.3,29.9,45.8,27.6,63.6,28.9,57.3,27.6,56.1,28.0,56.1,47,2016-06-04,SU,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2493,20160604_US,23.9,79.9,28.2,51.4,23.8,65.9,21.6,63.5,30.3,54.3,26.8,72.5,26.7,65.8,26.8,62.9,4,2016-06-04,US,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2494,20160605_BS,25.1,73.3,23.8,78.8,25.7,49.4,24.0,60.5,23.6,53.5,30.5,55.1,26.6,62.3,25.4,75.4,1,2016-06-05,BS,6,6,5,Sunday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2495,20160605_CB,30.146666666999998,51.506666667,23.113333333000003,62.273333333000004,28.726666666999996,53.206666667,28.846666666999997,44.273333333000004,27.686666666999997,49.233333333000004,28.313333333000003,58.246666667,28.893333333,55.246666667,26.6,54.82,0,2016-06-05,CB,6,6,5,Sunday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2496,20160605_CN,29.675,66.7,21.58125,79.50625,28.01875,67.7,27.38125,71.0125,28.04375,68.4125,26.25,76.68125,27.96875,72.8625,26.1125,70.45625,0,2016-06-05,CN,6,6,5,Sunday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2497,20160605_DG,25.6,67.8,23.0,71.0,31.2,44.8,28.0,54.8,25.1,52.0,30.8,47.1,32.3,52.9,28.6,57.8,1,2016-06-05,DG,6,6,5,Sunday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2498,20160605_DJ,30.3,59.3,22.0,77.0,29.0,60.1,29.3,51.1,28.4,59.1,27.9,64.9,29.4,66.0,26.9,60.8,0,2016-06-05,DJ,6,6,5,Sunday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2499,20160605_GB,26.304166666999997,65.458333333,23.608333333,65.3375,29.716666667,50.833333333,26.875,53.433333333,25.1,53.070833333,30.025,53.066666667,28.016666667,60.416666667,27.6,61.220833333,2,2016-06-05,GB,6,6,5,Sunday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2500,20160605_GG,31.133333333000003,55.019047619,24.928571429,60.611904761999995,27.816666667,55.688095238,28.788095238,47.504761905,29.20952381,54.285714286,27.321428571,71.48095238100001,28.523809524,64.25952381,27.126190475999998,62.530952381000006,2,2016-06-05,GG,6,6,5,Sunday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2501,20160605_GJ,26.2,75.5,22.2,86.8,28.6,61.8,28.4,70.8,28.8,66.6,28.6,60.8,29.9,61.9,26.7,69.4,1,2016-06-05,GJ,6,6,5,Sunday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
